season,game_id,date,day,stadium,home_team,home_score,away_team,away_score,home_shoot_total,home_shoot_ontarget,away_shoot_total,away_shoot_ontarget,home_corner,away_corner,home_offside,away_offside,home_possession,away_possession,home_foul,away_foul,home_yellow,away_yellow,home_red,away_red
2025,401617,2025-05-25 16:00:00,일,에가오 겐코 스타디움,롯소구마모토,1,B아키타,2,9,1,10,2,6,4,0,2,64,36,15,8,1,4,0,0
2025,401618,2025-05-25 14:00:00,일,ND 소프트 야마가타,야마가타,0,반포레고후,4,8,4,20,9,4,7,0,0,47,53,7,6,0,0,0,0
2025,401619,2025-05-25 14:00:00,일,이신 미 라이프,R야마구치,0,후지에다,0,12,4,16,9,5,7,1,1,44,56,9,18,1,1,0,0
2025,401620,2025-05-25 14:00:00,일,도스 스타디움,사간도스,2,삿포로,1,17,7,11,5,5,8,0,0,49,51,15,11,2,2,1,1
2025,401621,2025-05-25 14:00:00,일,포카리 스웨트,도쿠시마,1,주빌로이와타,1,17,1,7,3,5,1,3,6,43,57,20,9,2,1,0,0
2025,401622,2025-05-25 14:00:00,일,트랜스코스모스 스타디움,V나가사키,1,제프지바,0,23,7,6,3,5,5,0,2,51,49,6,9,0,1,0,0
2025,401623,2025-06-07 18:00:00,토,스코어 영역,이마바리FC,1,오이타,1,17,4,9,3,3,3,1,2,65,35,6,9,2,3,0,0
2025,401624,2025-06-08 14:00:00,일,NACK5 오미야,오미야,1,에히메,1,23,5,6,3,13,6,0,2,59,41,15,11,4,2,0,0
2025,401625,2025-06-08 14:00:00,일,도야마 레크레이션 파크,카탈레도야마,0,미토홀리호크,1,9,4,10,3,4,8,2,1,49,51,11,6,1,2,0,0
2025,401626,2025-05-31 14:00:00,토,소유 스타디움,B아키타,2,카탈레도야마,2,16,5,11,5,8,1,1,2,39,61,18,8,2,0,0,0
2025,401627,2025-05-31 14:00:00,토,후쿠다 덴시,제프지바,0,R야마구치,0,15,6,11,3,3,6,1,0,46,54,15,11,1,1,0,0
2025,401628,2025-05-31 14:00:00,토,후지에다 종합운동장,후지에다,2,야마가타,1,20,9,16,5,6,8,0,2,47,53,10,6,1,1,0,0
2025,401629,2025-05-31 18:05:00,토,스코어 영역,이마바리FC,0,도쿠시마,1,11,5,7,4,2,5,0,1,56,44,13,21,2,1,0,0
2025,401630,2025-06-01 14:00:00,일,하와이언즈 스타디움 이와키,이와키FC,5,롯소구마모토,1,18,9,10,5,4,4,1,3,40,60,17,8,1,0,0,0
2025,401631,2025-05-31 14:00:00,토,K's 덴키 미토,미토홀리호크,3,V나가사키,0,18,5,8,3,5,3,0,2,50,50,15,13,1,1,0,0
2025,401632,2025-05-31 19:00:00,토,쇼와 덴코 돔 오이타,오이타,2,반포레고후,1,10,3,4,2,5,2,2,1,63,37,12,11,1,3,0,1
2025,401633,2025-05-31 14:00:00,토,NACK5 오미야,오미야,2,주빌로이와타,2,15,3,15,3,1,9,1,0,43,57,19,9,1,1,0,0
2025,401634,2025-05-31 14:00:00,토,도스 스타디움,사간도스,2,에히메,2,11,3,5,3,6,1,1,0,51,49,9,9,2,1,0,0
2025,401635,2025-05-31 14:00:00,토,유르테크 센다이,베갈타센다이,1,삿포로,1,17,4,4,2,4,3,1,1,41,59,20,4,1,2,0,0
2025,401636,2025-06-15 14:00:00,일,삿포로 돔,삿포로,2,이마바리FC,2,9,4,21,9,4,6,4,1,48,52,9,19,2,2,0,0
2025,401637,2025-06-15 17:00:00,일,야마하,주빌로이와타,4,에히메,0,28,14,7,2,13,2,2,0,57,43,7,19,0,2,0,0
2025,401638,2025-06-15 18:30:00,일,지트 재활용 잉크 스타디움,반포레고후,1,롯소구마모토,1,10,2,6,3,4,3,1,2,38,62,12,7,2,1,0,0
2025,401639,2025-06-14 18:00:00,토,K's 덴키 미토,미토홀리호크,1,사간도스,0,9,3,13,1,1,1,0,1,54,46,21,7,0,0,0,0
2025,401640,2025-06-15 16:00:00,일,ND 소프트 야마가타,야마가타,3,베갈타센다이,4,9,4,13,5,2,6,3,2,54,46,14,12,1,2,0,0
2025,401641,2025-06-15 18:00:00,일,쇼와 덴코 돔 오이타,오이타,1,B아키타,2,5,2,13,6,7,1,0,3,49,51,13,7,1,2,0,0
2025,401642,2025-06-15 14:00:00,일,이신 미 라이프,R야마구치,2,이와키FC,2,11,5,12,3,4,5,3,0,56,44,10,12,0,0,0,0
2025,401643,2025-06-15 19:00:00,일,포카리 스웨트,도쿠시마,3,제프지바,3,12,4,15,7,5,7,0,2,57,43,17,8,1,0,0,1
2025,401644,2025-06-15 14:00:00,일,도야마 레크레이션 파크,카탈레도야마,0,후지에다,1,7,1,16,3,6,9,1,1,51,49,4,14,0,0,0,0
