Meet_Year,LEAGUE_NAME,Round,Game_id,Game_Datetime,Day,HomeTeam,AwayTeam,HomeRank,AwayRank,Field_Name,Audience_Qty,Weather,Temperature,Humidity
2025,K리그1,1,6,2025-02-16 16:30:00,일,대구,강원,0,0,대구iM뱅크PARK,12240,맑음,12.1,34
2025,K리그1,2,7,2025-02-22 14:00:00,토,제주,김천,2,8,제주 월드컵 경기장,5733,맑음,4.0,62
2025,K리그1,2,8,2025-02-22 16:30:00,토,서울,안양,11,5,서울 월드컵 경기장,41415,맑음,0.9,34
2025,K리그1,2,9,2025-02-22 16:30:00,토,대구,수원FC,3,6,대구iM뱅크PARK,12098,맑음,4.4,21
2025,K리그1,2,10,2025-02-23 14:00:00,일,대전,울산,4,11,대전 월드컵 경기장,19628,눈,0.7,34
2025,K리그1,2,11,2025-02-23 16:30:00,일,전북,광주,5,9,전주 월드컵 경기장,15393,흐림,1.0,41
2025,K리그1,2,12,2025-02-23 16:30:00,일,강원,포항,10,12,춘천 송암 스포츠타운,6539,맑음,0.5,23
2025,K리그1,3,13,2025-03-01 14:00:00,토,울산,전북,7,2,울산 문수 축구경기장,26317,흐림,17.1,41
2025,K리그1,3,14,2025-03-01 16:30:00,토,포항,대구,12,1,포항 스틸야드,11207,흐림,17.0,41
2025,K리그1,3,15,2025-03-01 16:30:00,토,광주,안양,10,8,광주 월드컵 경기장,3319,흐림,13.0,85
2025,K리그1,3,16,2025-03-02 14:00:00,일,대전,수원FC,7,11,대전 월드컵 경기장,7220,흐림,12.7,78
2025,K리그1,3,17,2025-03-02 16:30:00,일,강원,제주,8,5,춘천 송암 스포츠타운,5009,비,8.6,62
2025,K리그1,3,18,2025-03-03 14:00:00,월,서울,김천,10,8,서울 월드컵 경기장,24889,맑음,4.9,48
2025,K리그1,4,19,2025-03-08 14:00:00,토,수원FC,서울,11,9,수원 종합 운동장,8661,맑음,9.1,30
2025,K리그1,4,20,2025-03-08 16:30:00,토,대구,대전,1,2,대구iM뱅크PARK,12168,흐림,10.4,49
2025,K리그1,4,21,2025-03-08 16:30:00,토,안양,김천,10,6,안양 종합 운동장,13579,맑음,10.0,25
2025,K리그1,4,22,2025-03-09 14:00:00,일,울산,제주,4,7,울산 문수 축구경기장,16749,맑음,11.2,32
2025,K리그1,4,23,2025-03-22 16:30:00,토,광주,포항,8,12,광주 월드컵 경기장,4544,맑음,20.5,30
2025,K리그1,4,24,2025-03-09 16:30:00,일,전북,강원,8,9,전주 월드컵 경기장,14090,맑음,13.0,38
2025,K리그1,5,25,2025-03-15 14:00:00,토,제주,대전,8,1,제주 월드컵 경기장,4651,흐림,10.0,80
2025,K리그1,5,26,2025-03-15 16:30:00,토,강원,서울,5,7,춘천 송암 스포츠타운,10231,맑음,15.1,24
2025,K리그1,5,27,2025-03-15 16:30:00,토,대구,안양,4,10,대구iM뱅크PARK,12183,흐림,8.6,63
2025,K리그1,5,28,2025-03-16 14:00:00,일,수원FC,울산,11,2,수원 종합 운동장,5557,흐림,5.4,71
2025,K리그1,5,29,2025-03-16 16:30:00,일,김천,광주,4,8,김천 종합 운동장,3193,흐림,3.2,76
2025,K리그1,5,30,2025-03-16 16:30:00,일,전북,포항,10,12,전주 월드컵 경기장,10442,맑음,7.0,56
2025,K리그1,6,31,2025-03-29 14:00:00,토,서울,대구,4,5,서울 월드컵 경기장,25258,흐림,4.3,55
2025,K리그1,6,32,2025-03-29 16:30:00,토,포항,울산,10,2,포항 스틸야드,12565,맑음,11.0,17
2025,K리그1,6,33,2025-03-29 16:30:00,토,대전,광주,1,7,대전 월드컵 경기장,11469,흐림,6.3,50
2025,K리그1,6,34,2025-03-30 14:00:00,일,제주,수원FC,11,12,제주 월드컵 경기장,10778,맑음,7.0,33
2025,K리그1,6,35,2025-03-30 16:30:00,일,김천,강원,4,8,김천 종합 운동장,2026,맑음,8.2,25
2025,K리그1,6,36,2025-03-30 16:30:00,일,안양,전북,9,10,안양 종합 운동장,10031,맑음,6.0,55
2025,K리그1,7,37,2025-04-05 14:00:00,토,울산,서울,4,3,울산 문수 축구경기장,20358,흐리고 비,14.0,45
2025,K리그1,7,38,2025-04-05 16:30:00,토,김천,대구,2,7,김천 종합 운동장,3740,비,10.7,74
2025,K리그1,7,39,2025-04-05 16:30:00,토,대전,전북,1,5,대전 월드컵 경기장,14622,비,10.2,92
2025,K리그1,7,40,2025-04-05 19:00:00,토,수원FC,포항,12,6,수원 종합 운동장,2924,비,8.0,95
2025,K리그1,7,41,2025-04-06 16:30:00,일,안양,강원,11,10,안양 종합 운동장,8127,맑음,14.3,35
2025,K리그1,7,42,2025-04-06 16:30:00,일,광주,제주,8,9,광주 월드컵 경기장,3858,맑음,17.5,23
2025,K리그1,8,43,2025-04-12 14:00:00,토,수원FC,김천,12,2,수원 종합 운동장,2066,비,22.2,26
2025,K리그1,8,44,2025-04-12 16:30:00,토,서울,대전,4,1,서울 월드컵 경기장,20284,비,15.3,67
2025,K리그1,8,45,2025-04-12 16:30:00,토,포항,안양,7,8,포항 스틸야드,8354,흐리고 비,16.0,55
2025,K리그1,8,46,2025-04-13 14:00:00,일,강원,광주,12,3,춘천 송암 스포츠타운,5080,흐림,6.1,76
2025,K리그1,8,47,2025-04-13 16:30:00,일,전북,제주,6,10,전주 월드컵 경기장,10958,흐림,10.0,30
2025,K리그1,8,48,2025-04-13 16:30:00,일,대구,울산,9,7,대구iM뱅크PARK,12218,흐림,11.6,36
2025,K리그1,9,49,2025-04-19 14:00:00,토,울산,강원,3,8,울산 문수 축구경기장,13536,맑음,24.4,48
2025,K리그1,9,50,2025-04-19 16:30:00,토,김천,대전,2,1,김천 종합 운동장,2789,흐림,28.1,38
2025,K리그1,9,51,2025-04-19 16:30:00,토,안양,수원FC,9,12,안양 종합 운동장,4508,비,20.4,72
2025,K리그1,9,52,2025-04-19 19:00:00,토,서울,광주,5,4,서울 월드컵 경기장,19234,흐리고 비,13.2,94
2025,K리그1,9,53,2025-04-20 16:30:00,일,제주,포항,10,9,제주 월드컵 경기장,5531,흐리고 비,21.0,85
2025,K리그1,9,54,2025-04-20 16:30:00,일,전북,대구,8,11,전주 월드컵 경기장,12897,맑음,21.0,75
2025,K리그1,10,55,2025-04-26 14:00:00,토,수원FC,전북,12,4,수원 종합 운동장,7131,맑음,18.7,36
2025,K리그1,10,56,2025-04-09 19:30:00,수,광주,대구,6,9,광주 월드컵 경기장,1983,흐림,13.5,50
2025,K리그1,10,57,2025-04-26 16:30:00,토,안양,제주,8,10,안양 종합 운동장,5939,맑음,17.3,42
2025,K리그1,10,58,2025-04-27 14:00:00,일,포항,서울,9,7,포항 스틸야드,10984,맑음,26.0,16
2025,K리그1,10,59,2025-04-27 16:30:00,일,김천,울산,6,3,김천 종합 운동장,3300,맑음,26.2,13
2025,K리그1,10,60,2025-04-27 16:30:00,일,대전,강원,1,8,대전 월드컵 경기장,9412,맑음,24.0,16
2025,K리그1,11,61,2025-05-02 19:30:00,금,울산,광주,4,5,울산 문수 축구경기장,9659,맑음,20.0,40
2025,K리그1,11,62,2025-05-02 19:30:00,금,포항,김천,7,3,포항 스틸야드,7405,흐림,13.0,57
2025,K리그1,11,63,2025-05-03 16:30:00,토,대전,안양,1,6,대전 월드컵 경기장,12570,흐림,13.2,75
2025,K리그1,11,64,2025-05-03 16:30:00,토,대구,제주,11,10,대구iM뱅크PARK,11325,흐림,10.7,92
2025,K리그1,11,65,2025-05-03 19:00:00,토,서울,전북,8,4,서울 월드컵 경기장,48008,맑음,12.0,85
2025,K리그1,11,66,2025-05-03 19:00:00,토,강원,수원FC,9,12,춘천 송암 스포츠타운,5105,흐림,12.3,71
2025,K리그1,12,67,2025-05-05 16:30:00,월,광주,김천,5,3,광주 월드컵 경기장,6238,비,14.0,70
2025,K리그1,12,68,2025-05-05 16:30:00,월,울산,포항,4,7,울산 문수 축구경기장,23442,흐림,16.6,47
2025,K리그1,12,69,2025-05-06 14:00:00,화,전북,대전,2,1,전주 월드컵 경기장,24338,흐림,15.0,66
2025,K리그1,12,70,2025-05-06 16:30:00,화,제주,강원,10,8,제주 월드컵 경기장,11017,흐림,17.0,79
2025,K리그1,12,71,2025-05-06 19:00:00,화,안양,서울,7,9,안양 종합 운동장,10103,맑음,19.0,42
2025,K리그1,12,72,2025-05-06 19:00:00,화,수원FC,대구,12,11,수원 종합 운동장,3114,맑음,18.2,47
2025,K리그1,13,73,2025-05-10 16:30:00,토,포항,수원FC,8,11,포항 스틸야드,8811,맑음,19.0,54
2025,K리그1,13,74,2025-05-10 19:00:00,토,대전,서울,1,9,대전 월드컵 경기장,13706,흐리고 비,12.6,85
2025,K리그1,13,75,2025-05-10 19:00:00,토,안양,대구,7,12,안양 종합 운동장,6365,비,12.0,76
2025,K리그1,13,76,2025-05-11 16:30:00,일,제주,울산,11,3,제주 월드컵 경기장,8012,맑음,16.0,71
2025,K리그1,13,77,2025-05-11 19:00:00,일,강원,김천,8,4,춘천 송암 스포츠타운,3628,맑음,20.0,55
2025,K리그1,13,78,2025-05-11 19:00:00,일,광주,전북,6,2,광주 월드컵 경기장,8444,맑음,16.0,60
