Meet_Year,LEAGUE_NAME,Round,Game_Datetime,Day,HomeTeam,AwayTeam,HomeDistance,AwayDistance,HomeSprint,AwaySprint,Audience_Qty,Weather,Temperature,Humidity
2025,J리그1,9,2025-04-05 14:03:00,일,横浜FM,東京Ｖ,121.265,122.33,110,119,24170,맑음,16.8,36
2025,J리그1,9,2025-04-06 13:01:00,일,岡山,FC東京,114.61,107.74,122,130,15073,맑음,21.3,27
2025,J리그1,9,2025-04-06 14:03:00,일,町田,川崎Ｆ,115.449,113.046,114,110,11974,맑음,17.4,59
2025,J리그1,9,2025-04-06 14:03:00,일,横浜FC,清水,119.486,116.561,154,158,9106,흐림 후 맑음,17.7,55
2025,J리그1,9,2025-04-06 14:03:00,일,神戸,新潟,120.895,126.277,127,121,36407,흐림 후 맑음,20.5,43
2025,J리그1,9,2025-04-06 14:04:00,일,福岡,浦和,116.656,112.221,124,117,11683,맑음,17.7,29
2025,J리그1,9,2025-04-06 15:03:00,일,柏,Ｇ大阪,123.856,120.315,139,127,12833,맑음,19.5,45
2025,J리그1,9,2025-04-06 15:03:00,일,湘南,名古屋,119.774,118.192,153,137,9900,맑음,16.4,62
2025,J리그1,9,2025-04-06 15:03:00,일,鹿島,京都,113.023,117.204,127,142,16859,雨のち晴,16.3,90
2025,J리그1,9,2025-04-06 15:03:00,일,広島,Ｃ大阪,115.299,121.133,129,140,25324,맑음,19.7,20
2025,J리그1,5,2025-04-09 19:03:00,일,川崎Ｆ,横浜FM,122.214,121.354,127,120,21478,맑음,15.7,43
2025,J리그1,10,2025-04-11 19:03:00,일,FC東京,柏,126.865,123.46,167,182,43813,흐림 때때로 비,18.8,41
2025,J리그1,10,2025-04-12 14:03:00,일,清水,川崎Ｆ,110.989,110.13,122,116,17629,흐림,17.8,47
2025,J리그1,10,2025-04-12 14:03:00,일,Ｇ大阪,名古屋,111.695,114.213,97,101,28074,맑음 후 흐림,22.6,34
2025,J리그1,10,2025-04-12 14:03:00,일,広島,岡山,109.44,117.342,120,132,26135,흐림,20.2,30
2025,J리그1,10,2025-04-12 14:03:00,일,福岡,横浜FM,116.214,113.135,125,111,8255,흐림,20.7,30
2025,J리그1,10,2025-04-12 15:03:00,일,東京Ｖ,神戸,114.793,115.591,114,103,17474,맑음 후 흐림,19.3,56
2025,J리그1,10,2025-04-12 15:05:00,일,Ｃ大阪,鹿島,122.819,118.103,119,113,19410,흐림,20.4,43
2025,J리그1,10,2025-04-12 16:03:00,일,京都,湘南,121.606,115.91,175,159,11419,흐림,21.9,37
2025,J리그1,10,2025-04-13 14:03:00,일,町田,浦和,118.265,122.138,130,174,44363,비,15.2,89
2025,J리그1,10,2025-04-13 14:03:00,일,新潟,横浜FC,117.916,114.61,81,101,19527,흐림 후 비,14.9,70
2025,J리그1,12,2025-04-16 19:03:00,일,横浜FM,清水,126.26,126.384,132,128,16785,맑음,17.1,20
2025,J리그1,12,2025-04-16 19:03:00,일,神戸,川崎Ｆ,118.653,113.594,133,124,11019,맑음,14.2,47
2025,J리그1,20,2025-04-16 19:33:00,일,浦和,京都,114.782,115.961,152,150,21383,맑음,14.5,26
2025,J리그1,11,2025-04-19 14:03:00,일,新潟,京都,115.263,113.924,116,145,22266,흐림 후 맑음,23,65
2025,J리그1,11,2025-04-20 14:03:00,일,横浜FC,Ｇ大阪,110.25,107.557,134,114,9697,흐림 일시 맑음,22.1,53
