Meet_Year,LEAGUE_NAME,Round,Game_id,Game_Datetime,Day,HomeTeam,AwayTeam,HomeRank,AwayRank,HomePoints,AwayPoints,Field_Name,Audience_Qty,Weather,Temperature,Humidity,home_possession,home_attempts,home_on_target,home_fouls,home_yellow_cards,home_red_cards,home_double_yellow_cards,home_corners,home_free_kicks,home_offsides,away_possession,away_attempts,away_on_target,away_fouls,away_yellow_cards,away_red_cards,away_double_yellow_cards,away_corners,away_free_kicks,away_offsides,home_first_15_possession,home_first_30_possession,home_first_45_possession,home_second_15_possession,home_second_30_possession,home_second_45_possession,away_first_15_possession,away_first_30_possession,away_first_45_possession,away_second_15_possession,away_second_30_possession,away_second_45_possession
2015,K리그1,7,38,2015-04-18 14:00:00,토,전북,제주,1,3,16,11,전주 월드컵 경기장,13120,맑음,0.0,0,51.0,14.0,7.0,14.0,3.0,0.0,0.0,7.0,17.0,3.0,49.0,13.0,5.0,12.0,1.0,0.0,0.0,5.0,12.0,0.0,45.45,53.64,54.57,50.71,41.04,47.75,54.55,46.36,45.43,49.29,58.96,52.25
2015,K리그1,7,39,2015-04-18 16:00:00,토,광주,성남,7,6,7,8,목포 축구센터,1158,비,16.9,47,55.0,5.0,2.0,20.0,3.0,0.0,0.0,1.0,22.0,2.0,45.0,4.0,3.0,15.0,2.0,0.0,0.0,4.0,17.0,2.0,59.0,57.14,57.28,53.53,54.75,53.0,41.0,42.86,42.72,46.47,45.25,47.0
2015,K리그1,7,40,2015-04-19 14:00:00,일,인천,울산,11,3,4,12,인천 축구 전용경기장,2352,비,0.0,0,53.0,11.0,8.0,11.0,1.0,0.0,0.0,0.0,13.0,2.0,47.0,9.0,5.0,16.0,2.0,0.0,0.0,5.0,16.0,0.0,43.49,44.12,50.81,68.26,55.58,55.3,56.51,55.88,49.19,31.74,44.42,44.7
2015,K리그1,7,41,2015-04-19 16:00:00,일,부산,전남,10,9,4,7,부산 아시아드 경기장,1598,비,15.0,90,50.0,7.0,4.0,18.0,1.0,0.0,0.0,4.0,19.0,1.0,50.0,9.0,3.0,14.0,2.0,0.0,0.0,4.0,17.0,3.0,42.69,42.63,45.96,44.81,47.37,54.36,57.31,57.37,54.04,55.19,52.63,45.64
2015,K리그1,7,42,2015-04-19 16:00:00,일,대전,포항,12,5,1,9,대전 월드컵 경기장,1800,흐림,0.0,0,40.0,12.0,6.0,10.0,1.0,0.0,0.0,3.0,13.0,3.0,60.0,16.0,9.0,14.0,1.0,0.0,0.0,11.0,14.0,0.0,26.76,29.19,31.01,42.02,45.82,47.94,73.24,70.81,68.99,57.98,54.18,52.06
2015,K리그1,8,43,2015-04-25 15:00:00,토,인천,포항,10,4,5,12,인천 축구 전용경기장,5407,맑음,0.0,0,51.0,7.0,3.0,16.0,2.0,0.0,0.0,2.0,16.0,0.0,49.0,9.0,5.0,12.0,0.0,0.0,0.0,5.0,14.0,2.0,56.14,46.87,48.82,48.91,52.78,53.29,43.86,53.13,51.18,51.09,47.22,46.71
2015,K리그1,8,44,2015-04-25 16:00:00,토,울산,부산,3,11,13,4,울산 문수 축구경기장,3259,맑음,0.0,0,63.0,10.0,5.0,10.0,1.0,0.0,0.0,4.0,13.0,3.0,37.0,10.0,7.0,13.0,2.0,0.0,0.0,4.0,14.0,1.0,55.35,54.88,55.78,76.1,72.29,69.72,44.65,45.12,44.22,23.9,27.71,30.28
2015,K리그1,8,45,2015-04-26 14:00:00,일,성남,제주,7,5,9,11,탄천 종합 운동장,2969,맑음,0.0,0,52.0,12.0,4.0,11.0,1.0,0.0,0.0,5.0,16.0,5.0,48.0,16.0,8.0,12.0,0.0,0.0,0.0,5.0,13.0,1.0,48.11,54.61,52.58,66.13,52.47,50.54,51.89,45.39,47.42,33.87,47.53,49.46
2015,K리그1,8,46,2015-04-26 14:00:00,일,전남,전북,6,1,10,19,광양 전용 구장,6772,맑음,22.4,21,46.0,11.0,3.0,14.0,2.0,0.0,0.0,8.0,15.0,1.0,54.0,15.0,8.0,12.0,4.0,0.0,0.0,6.0,12.0,0.0,50.91,49.04,50.93,49.09,41.44,40.57,49.09,50.96,49.07,50.91,58.56,59.43
2015,K리그1,8,47,2015-04-26 14:00:00,일,광주,서울,8,9,8,7,목포 축구센터,2409,맑음,24.0,36,52.0,10.0,5.0,13.0,1.0,0.0,0.0,8.0,17.0,4.0,48.0,6.0,4.0,14.0,0.0,0.0,0.0,3.0,15.0,1.0,53.66,46.56,44.1,76.92,66.07,61.37,46.34,53.44,55.9,23.08,33.93,38.63
