game_id,datetime,home_team,away_team,stadium,audience,weather,temp,humidity,broadcast
66,2025-05-03 19:00:00,강원,수원FC,춘천 송암 스포츠타운,5105,흐림,12.3,71,"IB SPORTS, COUPANGPLAY"
67,2025-05-05 16:30:00,광주,김천,광주 월드컵 경기장,6238,비,14.0,70,"IB SPORTS, KFN, COUPANGPLAY"
68,2025-05-05 16:30:00,울산,포항,울산 문수 축구경기장,23442,흐림,16.6,47,"JTBC G&S, COUPANGPLAY"
69,2025-05-06 14:00:00,전북,대전,전주 월드컵 경기장,24338,흐림,15.0,66,"KBS1, skySports, COUPANGPLAY"
70,2025-05-06 16:30:00,제주,강원,제주 월드컵 경기장,11017,흐림,17.0,79,"IB SPORTS, COUPANGPLAY"
71,2025-05-06 19:00:00,안양,서울,안양 종합 운동장,10103,맑음,19.0,42,"skySports, COUPANGPLAY"
72,2025-05-06 19:00:00,수원FC,대구,수원 종합 운동장,3114,맑음,18.2,47,"JTBC G&S, COUPANGPLAY"
73,2025-05-10 16:30:00,포항,수원FC,포항 스틸야드,8811,맑음,19.0,54,"skySports, COUPANGPLAY"
74,2025-05-10 19:00:00,대전,서울,대전 월드컵 경기장,13706,흐리고 비,12.6,85,"skySports, COUPANGPLAY"
75,2025-05-10 19:00:00,안양,대구,안양 종합 운동장,6365,비,12.0,76,"IB SPORTS, COUPANGPLAY"
76,2025-05-11 16:30:00,제주,울산,제주 월드컵 경기장,8012,맑음,16.0,71,"skySports, COUPANGPLAY"
77,2025-05-11 19:00:00,강원,김천,춘천 송암 스포츠타운,3628,맑음,20.0,55,"IB SPORTS, KFN, COUPANGPLAY"
78,2025-05-11 19:00:00,광주,전북,광주 월드컵 경기장,8444,맑음,16.0,60,"skySports, COUPANGPLAY"
79,2025-05-17 16:30:00,전북,안양,전주 월드컵 경기장,21021,맑음,26.0,60,"skySports, COUPANGPLAY"
80,2025-05-17 19:00:00,강원,울산,춘천 송암 스포츠타운,6920,흐리고 비,23.0,59,"skySports, COUPANGPLAY"
81,2025-05-17 19:00:00,김천,제주,김천 종합 운동장,1771,맑음,27.7,42,"IB SPORTS, KFN, COUPANGPLAY"
82,2025-05-18 16:30:00,포항,광주,포항 스틸야드,9819,맑음,18.0,59,"IB SPORTS, COUPANGPLAY"
83,2025-05-18 16:30:00,대구,서울,대구iM뱅크PARK,11699,맑음,22.8,34,"skySports, COUPANGPLAY"
84,2025-05-18 19:00:00,수원FC,대전,수원 종합 운동장,3579,맑음,19.8,32,"skySports, COUPANGPLAY"
85,2025-05-23 19:30:00,제주,전북,제주 월드컵 경기장,6224,비,17.0,87,"skySports, COUPANGPLAY"
86,2025-05-23 19:30:00,안양,포항,안양 종합 운동장,6124,흐림,21.7,40,"IB SPORTS, COUPANGPLAY"
87,2025-05-24 16:30:00,서울,수원FC,서울 월드컵 경기장,25578,흐림,17.3,60,"skySports, COUPANGPLAY"
88,2025-05-24 19:00:00,울산,김천,울산 문수 축구경기장,16012,흐리고 비,12.0,90,"IB SPORTS, KFN, COUPANGPLAY"
89,2025-05-24 19:00:00,대전,대구,대전 월드컵 경기장,10417,흐림,14.4,78,"skySports, COUPANGPLAY"
90,2025-05-25 16:30:00,광주,강원,광주 월드컵 경기장,4554,맑음,24.5,43,"skySports, COUPANGPLAY"
